,rtt__quantile__q_0.75,rtt__median,rtt__mean,rtt__noise_threshold,rtt__congestion_threshold
0,30.123,27.0065,33.82896,45.1845,30.12324
1,16.6595,13.943,19.80178,24.98925,14.6028
2,29.492,26.666,32.39799,44.238,29.90136
3,140.3405,105.042,91.60246,210.51075,38.58852
4,35.741,32.849,38.56521,53.6115,37.37784
5,22.091,15.556,24.74454,33.1365,16.03344
6,33.698,30.861,36.51597,50.547,34.8504
7,16.7575,13.5705,20.87237,25.13625,14.184
8,21.611,15.457,23.79601,32.4165,15.91152
9,29.3055,26.4845,32.6872,43.95825,29.73468
10,36.063,32.371,39.03651,54.0945,36.61704
11,82.4755,76.664,83.03644,123.71325,89.25864
12,130.77475,103.583,85.58553,196.16212,34.4076
13,30.2455,27.431,33.28327,45.36825,30.9192
14,17.456,14.03,19.60216,26.184,14.61336
15,63.003,59.2155,66.34261,94.5045,68.52576
16,35.475,32.8385,39.05005,53.2125,37.4634
17,29.409,26.632,32.25403,44.1135,29.79864
18,81.553,46.374,65.60014,122.3295,43.95
19,57.5305,54.835,61.84945,86.29575,63.62232
20,29.78775,26.5045,32.06265,44.68162,29.51484
21,33.469,30.722,37.05294,50.2035,34.7184
22,30.273,27.441,32.96008,45.4095,30.82392
23,74.198,71.49,78.10052,111.297,83.6472
24,16.889,13.983,19.86964,25.3335,14.6058
25,17.0475,13.802,20.1725,25.57125,14.3916
26,57.57575,54.976,61.00102,86.36362,63.6252
27,35.4595,32.1,38.98793,53.18925,36.33672
